File,Function,Kind,TypeAnnotation,UnrolledTypeAnnotation,TypeVarsSummary,Error,Warning,VarCnt,HasWhere,VarsUsedOnce,UseSiteVariance,ImprUseSiteVariance,RestrictedScope,ClosedLowerBound,Package
src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, Missing} where T","Tuple{Type{Union{Missing, T}}, Missing} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/ArrowTypes.jl
src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, T} where T","Tuple{Type{Union{Missing, T}}, T} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,false,false,true,false,true,../data/ta-info/all/ArrowTypes.jl
src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, T} where T <: NamedTuple","Tuple{Type{Union{Missing, T}}, T} where T <: NamedTuple","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :NamedTuple, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,false,false,true,false,true,../data/ta-info/all/ArrowTypes.jl
src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, Any} where T","Tuple{Type{Union{Missing, T}}, Any} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/ArrowTypes.jl
src/ArrowTypes.jl,default,mtsig,"Tuple{Type{Union{T, Missing}}} where T","Tuple{Type{Union{T, Missing}}} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/ArrowTypes.jl
src/padded_axis.jl,_unsafe_get_element,mtsig,"Tuple{Any, Tuple{Vararg{Union{Integer, P}}}} where P <: OnePad","Tuple{Any, Tuple{Vararg{Union{Integer, P}}}} where P <: OnePad","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:P, :(Union{}), :OnePad, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/AxisIndices.jl
src/padded_axis.jl,_unsafe_get_element,mtsig,"Tuple{Any, Tuple{Vararg{Union{Integer, P}}}} where P <: ZeroPad","Tuple{Any, Tuple{Vararg{Union{Integer, P}}}} where P <: ZeroPad","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:P, :(Union{}), :ZeroPad, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/AxisIndices.jl
src/table.jl,Table,mtsig,"Tuple{Vararg{Pair{K, <:AbstractVector}}} where K","Tuple{Vararg{Pair{K, var""##ANON_TV#522""} where var""##ANON_TV#522"" <: AbstractVector}} where K","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#522""), :(Union{}), :AbstractVector, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:K, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,false,true,false,true,../data/ta-info/all/AxisTables.jl
src/parse_data.jl,process_column,mtsig,"Tuple{AbstractVector{Union{Missing, T}}} where T <: Real","Tuple{AbstractVector{Union{Missing, T}}} where T <: Real","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/BEASTDataPrep.jl
src/array.jl,Base.map,mtsig,"(Tuple{Any, Vararg{Array{<:Any, N}}, Any} where N) where T","(Tuple{Any, Vararg{Array{var""##ANON_TV#335"", N} where var""##ANON_TV#335"" <: Any}, Any} where N) where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#335""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], list(JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,false,false,true,false,true,../data/ta-info/all/BanyanArrays.jl
src/Bijectors.jl,maporbroadcast,mtsig,"Tuple{Any, Vararg{AbstractArray{<:Any, N}}} where N","Tuple{Any, Vararg{AbstractArray{var""##ANON_TV#1190"", N} where var""##ANON_TV#1190"" <: Any}} where N","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#1190""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,false,true,false,true,../data/ta-info/all/Bijectors.jl
src/bijectors/leaky_relu.jl,Functors.functor,mtsig,"Tuple{Type{LeakyReLU{<:Any, N}}, Any} where N","Tuple{Type{LeakyReLU{var""##ANON_TV#1260"", N} where var""##ANON_TV#1260"" <: Any}, Any} where N","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#1260""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,false,true,false,true,../data/ta-info/all/Bijectors.jl
src/BinaryDecisionDiagrams.jl,and,mtsig,"Tuple{Vararg{Union{T, Diagram}}} where T <: Integer","Tuple{Vararg{Union{T, Diagram}}} where T <: Integer","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/BinaryDecisionDiagrams.jl
src/BinaryDecisionDiagrams.jl,or,mtsig,"Tuple{Vararg{Union{T, Diagram}}} where T <: Integer","Tuple{Vararg{Union{T, Diagram}}} where T <: Integer","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/BinaryDecisionDiagrams.jl
src/pseudo_blockarray.jl,convert,mtsig,"(Tuple{Type{AbstractArray{V, N} where V}, PseudoBlockArray{T, N}} where N) where T","(Tuple{Type{AbstractArray{V, N} where V}, PseudoBlockArray{T, N}} where N) where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:V, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCInvar, JuliaSub.TCTuple)], list(JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,false,false,true,false,true,../data/ta-info/all/BlockArrays.jl
src/utils.jl,to_cartesian,mtsig,"Tuple{Val{N}, Vararg{Union{Int, NTuple{N, Int}, CartesianIndex{N}}}} where N","Tuple{Val{N}, Vararg{Union{Int, NTuple{N, Int}, CartesianIndex{N}}}} where N","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCInvar, JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCInvar, JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,false,false,true,false,true,../data/ta-info/all/BlockMatching.jl
src/algorithms/Finito/Finito.jl,Finito,mtsig,"Tuple{Maybe{Union{Array{R}, R}}, Any, Bool, Bool, Tuple{Bool, Int}, Int, Bool, Int, R, R, R} where R","Tuple{Maybe{Union{Array{R}, R}}, Any, Bool, Bool, Tuple{Bool, Int}, Int, Bool, Int, R, R, R} where R","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:R, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCTuple), list(JuliaSub.TCTuple), list(JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,false,false,true,false,true,../data/ta-info/all/CIAOAlgorithms.jl
