File,Name,Kind,TypeDeclaration,Supertype,Error,Warning,VarCnt,ProcessedTypeDecl,ProcessedSuper,TyDeclUseSiteVariance,SuperUseSiteVariance,TyDeclImpUseSiteVariance,SuperImpUseSiteVariance,TrivConsistBounds,Package
src/timelineData.jl,FixedTable,tdstrc,"FixedTable{N, T <: AbstractFloat, AV <: AbstractVector{T}, CL <: Union{Symbol, String}}",AbstractMatrix{T},false,false,4,"(((FixedTable{N, T, AV, CL} where CL <: Union{Symbol, String}) where AV <: AbstractVector{T}) where T <: AbstractFloat) where N",(((AbstractMatrix{T} where CL) where AV) where T) where N,false,true,true,true,true,data/ta-info/all/AbnormalReturns.jl
src/generic/GenericTypes.jl,UniversalPolyRing,tdmtbl,"UniversalPolyRing{T <: RingElement, U <: AbstractAlgebra.MPolyRingElem{T}}",AbstractAlgebra.UniversalPolyRing{T},false,false,2,"(UniversalPolyRing{T, U} where U <: AbstractAlgebra.MPolyRingElem{T}) where T <: RingElement",(AbstractAlgebra.UniversalPolyRing{T} where U) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,UnivPoly,tdmtbl,"UnivPoly{T <: RingElement, U <: MPolyRingElem{T}}",AbstractAlgebra.UniversalPolyRingElem{T},false,false,2,"(UnivPoly{T, U} where U <: MPolyRingElem{T}) where T <: RingElement",(AbstractAlgebra.UniversalPolyRingElem{T} where U) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,LaurentPolyWrapRing,tdmtbl,"LaurentPolyWrapRing{T <: RingElement, PR <: AbstractAlgebra.PolyRing{T}}",LaurentPolynomialRing{T},false,false,2,"(LaurentPolyWrapRing{T, PR} where PR <: AbstractAlgebra.PolyRing{T}) where T <: RingElement",(LaurentPolynomialRing{T} where PR) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,LaurentPolyWrap,tdmtbl,"LaurentPolyWrap{T <: RingElement, PE <: AbstractAlgebra.PolyRingElem{T}, LR <: LaurentPolyWrapRing{T}}",AbstractAlgebra.LaurentPolyRingElem{T},false,false,3,"((LaurentPolyWrap{T, PE, LR} where LR <: LaurentPolyWrapRing{T}) where PE <: AbstractAlgebra.PolyRingElem{T}) where T <: RingElement",((AbstractAlgebra.LaurentPolyRingElem{T} where LR) where PE) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,LaurentMPolyWrapRing,tdmtbl,"LaurentMPolyWrapRing{T <: RingElement, PR <: AbstractAlgebra.MPolyRing{T}}",AbstractAlgebra.LaurentMPolyRing{T},false,false,2,"(LaurentMPolyWrapRing{T, PR} where PR <: AbstractAlgebra.MPolyRing{T}) where T <: RingElement",(AbstractAlgebra.LaurentMPolyRing{T} where PR) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,LaurentMPolyWrap,tdmtbl,"LaurentMPolyWrap{T <: RingElement, PE <: AbstractAlgebra.MPolyRingElem{T}, LR <: LaurentMPolyWrapRing{T}}",AbstractAlgebra.LaurentMPolyRingElem{T},false,false,3,"((LaurentMPolyWrap{T, PE, LR} where LR <: LaurentMPolyWrapRing{T}) where PE <: AbstractAlgebra.MPolyRingElem{T}) where T <: RingElement",((AbstractAlgebra.LaurentMPolyRingElem{T} where LR) where PE) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,RationalFunctionField,tdmtbl,"RationalFunctionField{T <: FieldElement, U <: Union{PolyRingElem{T}, MPolyRingElem{T}}}",AbstractAlgebra.Field,false,false,2,"(RationalFunctionField{T, U} where U <: Union{PolyRingElem{T}, MPolyRingElem{T}}) where T <: FieldElement",(AbstractAlgebra.Field where U) where T,false,true,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,IdentityMap,tdstrc,IdentityMap{D},"AbstractAlgebra.Map{D, D, AbstractAlgebra.IdentityMap, IdentityMap}",false,false,1,IdentityMap{D} where D,"AbstractAlgebra.Map{D, D, AbstractAlgebra.IdentityMap, IdentityMap} where D",true,false,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,ModuleHomomorphism,tdmtbl,ModuleHomomorphism{T <: RingElement},"AbstractAlgebra.Map{AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModuleHomomorphism, ModuleHomomorphism}",false,false,1,ModuleHomomorphism{T} where T <: RingElement,"AbstractAlgebra.Map{AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModuleHomomorphism, ModuleHomomorphism} where T",true,false,true,true,true,data/ta-info/all/AbstractAlgebra.jl
src/generic/GenericTypes.jl,ModuleIsomorphism,tdmtbl,ModuleIsomorphism{T <: RingElement},"AbstractAlgebra.Map{AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModuleHomomorphism, ModuleIsomorphism}",false,false,1,ModuleIsomorphism{T} where T <: RingElement,"AbstractAlgebra.Map{AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModule{T}, AbstractAlgebra.FPModuleHomomorphism, ModuleIsomorphism} where T",true,false,true,true,true,data/ta-info/all/AbstractAlgebra.jl
test/testplans.jl,InverseTestRPlan,tdmtbl,"InverseTestRPlan{T, N}",Plan{Complex{T}},false,false,2,"(InverseTestRPlan{T, N} where N) where T",(Plan{Complex{T}} where N) where T,true,false,true,true,true,data/ta-info/all/AbstractFFTs.jl
src/abstractindex.jl,AbstractIndex,tdabst,"AbstractIndex{name, K, V <: Integer, Ks <: AbstractVector{K}, Vs <: AbstractUnitRange{V}}",AbstractUnitRange{V},false,false,5,"((((AbstractIndex{name, K, V, Ks, Vs} where Vs <: AbstractUnitRange{V}) where Ks <: AbstractVector{K}) where V <: Integer) where K) where name",((((AbstractUnitRange{V} where Vs) where Ks) where V) where K) where name,false,true,true,true,true,data/ta-info/all/AbstractIndices.jl
src/indicesarray.jl,IndicesArray,tdstrc,"IndicesArray{T, N, P <: AbstractArray{T, N}, I <: NTuple{N, AbstractIndex}}","AbstractArray{T, N}",false,false,4,"(((IndicesArray{T, N, P, I} where I <: NTuple{N, AbstractIndex}) where P <: AbstractArray{T, N}) where N) where T","(((AbstractArray{T, N} where I) where P) where N) where T",false,true,true,true,true,data/ta-info/all/AbstractIndices.jl
src/calculus/BroadCast.jl,BroadCast,tdstrc,"BroadCast{N, L <: AbstractOperator, T <: AbstractArray, D <: AbstractArray, M, C <: NTuple{M, Colon}, I <: CartesianIndices}",AbstractOperator,false,false,7,"((((((BroadCast{N, L, T, D, M, C, I} where I <: CartesianIndices) where C <: NTuple{M, Colon}) where M) where D <: AbstractArray) where T <: AbstractArray) where L <: AbstractOperator) where N",((((((AbstractOperator where I) where C) where M) where D) where T) where L) where N,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/calculus/Compose.jl,Compose,tdstrc,"Compose{N, M, L <: NTuple{N, Any}, T <: NTuple{M, Any}}",AbstractOperator,false,false,4,"(((Compose{N, M, L, T} where T <: NTuple{M, Any}) where L <: NTuple{N, Any}) where M) where N",(((AbstractOperator where T) where L) where M) where N,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/calculus/DCAT.jl,DCAT,tdstrc,"DCAT{N, L <: NTuple{N, AbstractOperator}, P1 <: NTuple{N, Union{Int, Tuple}}, P2 <: NTuple{N, Union{Int, Tuple}}}",AbstractOperator,false,false,4,"(((DCAT{N, L, P1, P2} where P2 <: NTuple{N, Union{Int, Tuple}}) where P1 <: NTuple{N, Union{Int, Tuple}}) where L <: NTuple{N, AbstractOperator}) where N",(((AbstractOperator where P2) where P1) where L) where N,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/calculus/HCAT.jl,HCAT,tdstrc,"HCAT{N, L <: NTuple{N, AbstractOperator}, P <: Tuple, C <: AbstractArray}",AbstractOperator,false,false,4,"(((HCAT{N, L, P, C} where C <: AbstractArray) where P <: Tuple) where L <: NTuple{N, AbstractOperator}) where N",(((AbstractOperator where C) where P) where L) where N,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/calculus/Sum.jl,Sum,tdstrc,"Sum{K, C <: AbstractArray, D <: AbstractArray, L <: NTuple{K, AbstractOperator}}",AbstractOperator,false,false,4,"(((Sum{K, C, D, L} where L <: NTuple{K, AbstractOperator}) where D <: AbstractArray) where C <: AbstractArray) where K",(((AbstractOperator where L) where D) where C) where K,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/calculus/VCAT.jl,VCAT,tdstrc,"VCAT{N, L <: NTuple{N, AbstractOperator}, P <: Tuple, C <: AbstractArray}",AbstractOperator,false,false,4,"(((VCAT{N, L, P, C} where C <: AbstractArray) where P <: Tuple) where L <: NTuple{N, AbstractOperator}) where N",(((AbstractOperator where C) where P) where L) where N,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/Conv.jl,Conv,tdstrc,"Conv{T, H <: AbstractVector{T}, Hc <: AbstractVector{Complex{T}}}",LinearOperator,false,false,3,"((Conv{T, H, Hc} where Hc <: AbstractVector{Complex{T}}) where H <: AbstractVector{T}) where T",((LinearOperator where Hc) where H) where T,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/DiagOp.jl,DiagOp,tdstrc,"DiagOp{N, D, C, T <: Union{AbstractArray{C, N}, Number}}",LinearOperator,false,false,4,"(((DiagOp{N, D, C, T} where T <: Union{AbstractArray{C, N}, Number}) where C) where D) where N",(((LinearOperator where T) where C) where D) where N,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/FiniteDiff.jl,FiniteDiff,tdstrc,"FiniteDiff{T, N, D, C <: CartesianIndices{N}}",LinearOperator,false,false,4,"(((FiniteDiff{T, N, D, C} where C <: CartesianIndices{N}) where D) where N) where T",(((LinearOperator where C) where D) where N) where T,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/IRDFT.jl,IRDFT,tdstrc,"IRDFT{T <: Number, N, D, T1 <: AbstractFFTs.Plan, T2 <: AbstractFFTs.Plan, T3 <: NTuple{N, Any}}",LinearOperator,false,false,6,"(((((IRDFT{T, N, D, T1, T2, T3} where T3 <: NTuple{N, Any}) where T2 <: AbstractFFTs.Plan) where T1 <: AbstractFFTs.Plan) where D) where N) where T <: Number",(((((LinearOperator where T3) where T2) where T1) where D) where N) where T,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/MIMOFilt.jl,MIMOFilt,tdstrc,"MIMOFilt{T, A <: AbstractVector{T}}",LinearOperator,false,false,2,"(MIMOFilt{T, A} where A <: AbstractVector{T}) where T",(LinearOperator where A) where T,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/MatrixOp.jl,MatrixOp,tdstrc,"MatrixOp{D, T, M <: AbstractMatrix{T}}",LinearOperator,false,false,3,"((MatrixOp{D, T, M} where M <: AbstractMatrix{T}) where T) where D",((LinearOperator where M) where T) where D,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/RDFT.jl,RDFT,tdstrc,"RDFT{T <: Number, N, T1 <: AbstractFFTs.Plan, T2 <: AbstractFFTs.Plan, T3 <: AbstractArray{Complex{T}, N}}",LinearOperator,false,false,5,"((((RDFT{T, N, T1, T2, T3} where T3 <: AbstractArray{Complex{T}, N}) where T2 <: AbstractFFTs.Plan) where T1 <: AbstractFFTs.Plan) where N) where T <: Number",((((LinearOperator where T3) where T2) where T1) where N) where T,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/linearoperators/Xcorr.jl,Xcorr,tdstrc,"Xcorr{T, H <: AbstractVector{T}}",LinearOperator,false,false,2,"(Xcorr{T, H} where H <: AbstractVector{T}) where T",(LinearOperator where H) where T,false,true,true,true,true,data/ta-info/all/AbstractOperators.jl
src/Field.jl,Field,tdstrc,"Field{T, D, Tarr <: AbstractArray{T, D}}","AbstractField{T, D}",false,false,3,"((Field{T, D, Tarr} where Tarr <: AbstractArray{T, D}) where D) where T","((AbstractField{T, D} where Tarr) where D) where T",false,true,true,true,true,data/ta-info/all/AbstractPDEInterfaces.jl
src/BoundaryConditions/problem.jl,BoundaryValueProblem,tdstrc,"BoundaryValueProblem{isinplace, T, F, fType, uType, Tbcs, Tspace <: AbstractSpace{T}, Tdiscr <: AbstractDiscretization, P, K}",AbstractBoundaryValueProblem,false,false,10,"(((((((((BoundaryValueProblem{isinplace, T, F, fType, uType, Tbcs, Tspace, Tdiscr, P, K} where K) where P) where Tdiscr <: AbstractDiscretization) where Tspace <: AbstractSpace{T}) where Tbcs) where uType) where fType) where F) where T) where isinplace",(((((((((AbstractBoundaryValueProblem where K) where P) where Tdiscr) where Tspace) where Tbcs) where uType) where fType) where F) where T) where isinplace,false,true,true,true,true,data/ta-info/all/AbstractPDEInterfaces.jl
src/BoundaryConditions/types.jl,BoundaryCondition,tdstrc,"BoundaryCondition{T, Tdict, Tamasks, Tmask, Tamask, Tspace <: AbstractSpace{T}, Tdiscr <: AbstractDiscretization}",AbstractBoundaryCondition{T},false,false,7,"((((((BoundaryCondition{T, Tdict, Tamasks, Tmask, Tamask, Tspace, Tdiscr} where Tdiscr <: AbstractDiscretization) where Tspace <: AbstractSpace{T}) where Tamask) where Tmask) where Tamasks) where Tdict) where T",((((((AbstractBoundaryCondition{T} where Tdiscr) where Tspace) where Tamask) where Tmask) where Tamasks) where Tdict) where T,false,true,true,true,true,data/ta-info/all/AbstractPDEInterfaces.jl
src/Domains/deform.jl,DeformedDomain,tdstrc,"DeformedDomain{T, D, Tdom <: AbstractDomain{T, D}, Tm}","AbstractDomain{T, D}",false,false,4,"(((DeformedDomain{T, D, Tdom, Tm} where Tm) where Tdom <: AbstractDomain{T, D}) where D) where T","(((AbstractDomain{T, D} where Tm) where Tdom) where D) where T",false,true,true,true,true,data/ta-info/all/AbstractPDEInterfaces.jl
src/Spaces/deform.jl,DeformedSpace,tdstrc,"DeformedSpace{T, D, Tspace <: AbstractSpace{T, D}, Tgrid, Tjacmat, Tjacimat, Tjac, Tjaci}","AbstractSpace{T, D}",false,false,8,"(((((((DeformedSpace{T, D, Tspace, Tgrid, Tjacmat, Tjacimat, Tjac, Tjaci} where Tjaci) where Tjac) where Tjacimat) where Tjacmat) where Tgrid) where Tspace <: AbstractSpace{T, D}) where D) where T","(((((((AbstractSpace{T, D} where Tjaci) where Tjac) where Tjacimat) where Tjacmat) where Tgrid) where Tspace) where D) where T",false,true,true,true,true,data/ta-info/all/AbstractPDEInterfaces.jl
src/Spaces/transform.jl,TransformedSpace,tdstrc,"TransformedSpace{T, D, Tsp <: AbstractSpace{T, D}}","AbstractSpace{T, D}",false,false,3,"((TransformedSpace{T, D, Tsp} where Tsp <: AbstractSpace{T, D}) where D) where T","((AbstractSpace{T, D} where Tsp) where D) where T",false,true,true,true,true,data/ta-info/all/AbstractPDEInterfaces.jl
src/FixedVector.jl,FixedVector,tdstrc,"FixedVector{N, T, TData <: AbstractVector{T}}","TupleVector{N, T}",false,false,3,"((FixedVector{N, T, TData} where TData <: AbstractVector{T}) where T) where N","((TupleVector{N, T} where TData) where T) where N",false,true,true,true,true,data/ta-info/all/AbstractTensors.jl
src/cursors.jl,StableCursor,tdstrc,"StableCursor{N, S}","TreeCursor{N, N}",false,false,2,"(StableCursor{N, S} where S) where N","(TreeCursor{N, N} where S) where N",true,false,true,true,true,data/ta-info/all/AbstractTrees.jl
src/cursors.jl,StableIndexedCursor,tdstrc,StableIndexedCursor{N},"TreeCursor{N, N}",false,false,1,StableIndexedCursor{N} where N,"TreeCursor{N, N} where N",true,false,true,true,true,data/ta-info/all/AbstractTrees.jl
src/wallets.jl,AbstractWallet,tdabst,"AbstractWallet{K, N, P <: AbstractPortfolio{K, N}, A <: AbstractAddress}",Any,false,false,4,"(((AbstractWallet{K, N, P, A} where A <: AbstractAddress) where P <: AbstractPortfolio{K, N}) where N) where K",(((Any where A) where P) where N) where K,false,true,true,true,true,data/ta-info/all/AbstractWallets.jl
src/AcceleratedArray.jl,AcceleratedArray,tdstrc,"AcceleratedArray{T, N, A <: AbstractArray{T, N}, I <: AbstractIndex}","AbstractArray{T, N}",false,false,4,"(((AcceleratedArray{T, N, A, I} where I <: AbstractIndex) where A <: AbstractArray{T, N}) where N) where T","(((AbstractArray{T, N} where I) where A) where N) where T",false,true,true,true,true,data/ta-info/all/AcceleratedArrays.jl
src/AdaOPS.jl,AdaOPSPlanner,tdmtbl,"AdaOPSPlanner{S, A, O, P <: POMDP{S, A, O}, N, B, OD, RNG <: AbstractRNG}",Policy,false,false,8,"(((((((AdaOPSPlanner{S, A, O, P, N, B, OD, RNG} where RNG <: AbstractRNG) where OD) where B) where N) where P <: POMDP{S, A, O}) where O) where A) where S",(((((((Policy where RNG) where OD) where B) where N) where P) where O) where A) where S,false,true,true,true,true,data/ta-info/all/AdaOPS.jl
src/am.jl,AdaptiveMetropolis,tdstrc,"AdaptiveMetropolis{d, FT <: AbstractFloat, T <: Union{MVector{d, FT}, Vector{FT}}, SST <: StepSize, CT <: Cholesky}",AdaptState,false,false,5,"((((AdaptiveMetropolis{d, FT, T, SST, CT} where CT <: Cholesky) where SST <: StepSize) where T <: Union{MVector{d, FT}, Vector{FT}}) where FT <: AbstractFloat) where d",((((AdaptState where CT) where SST) where T) where FT) where d,false,true,true,true,true,data/ta-info/all/AdaptiveMCMC.jl
src/ram.jl,RobustAdaptiveMetropolis,tdstrc,"RobustAdaptiveMetropolis{d, FT <: AbstractFloat, T <: Union{MVector{d, FT}, Vector{FT}}, SST <: StepSize, CT <: Cholesky{FT}}",AdaptState,false,false,5,"((((RobustAdaptiveMetropolis{d, FT, T, SST, CT} where CT <: Cholesky{FT}) where SST <: StepSize) where T <: Union{MVector{d, FT}, Vector{FT}}) where FT <: AbstractFloat) where d",((((AdaptState where CT) where SST) where T) where FT) where d,false,true,true,true,true,data/ta-info/all/AdaptiveMCMC.jl
src/rwm.jl,RWMState,tdstrc,"RWMState{d, FT <: AbstractFloat, T <: AbstractVector{FT}, FunT <: Function, RngT <: Random.AbstractRNG}",Any,false,false,5,"((((RWMState{d, FT, T, FunT, RngT} where RngT <: Random.AbstractRNG) where FunT <: Function) where T <: AbstractVector{FT}) where FT <: AbstractFloat) where d",((((Any where RngT) where FunT) where T) where FT) where d,false,true,true,true,true,data/ta-info/all/AdaptiveMCMC.jl
src/AdaptiveSparseGrids.jl,Node,tdmtbl,"Node{D, K, T <: KTuple{K}}",Any,false,false,3,"((Node{D, K, T} where T <: KTuple{K}) where K) where D",((Any where T) where K) where D,false,true,true,true,true,data/ta-info/all/AdaptiveSparseGrids.jl
src/integrator.jl,JitteredLeapfrog,tdstrc,"JitteredLeapfrog{FT <: AbstractFloat, T <: AbstractScalarOrVec{FT}}",AbstractLeapfrog{T},false,false,2,"(JitteredLeapfrog{FT, T} where T <: AbstractScalarOrVec{FT}) where FT <: AbstractFloat",(AbstractLeapfrog{T} where T) where FT,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/integrator.jl,TemperedLeapfrog,tdstrc,"TemperedLeapfrog{FT <: AbstractFloat, T <: AbstractScalarOrVec{FT}}",AbstractLeapfrog{T},false,false,2,"(TemperedLeapfrog{FT, T} where T <: AbstractScalarOrVec{FT}) where FT <: AbstractFloat",(AbstractLeapfrog{T} where T) where FT,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/metric.jl,DiagEuclideanMetric,tdstrc,"DiagEuclideanMetric{T, A <: AbstractVecOrMat{T}}",AbstractMetric,false,false,2,"(DiagEuclideanMetric{T, A} where A <: AbstractVecOrMat{T}) where T",(AbstractMetric where A) where T,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/metric.jl,DenseEuclideanMetric,tdstrc,"DenseEuclideanMetric{T, AV <: AbstractVecOrMat{T}, AM <: Union{AbstractMatrix{T}, AbstractArray{T, 3}}, TcholM⁻¹ <: UpperTriangular{T}}",AbstractMetric,false,false,4,"(((DenseEuclideanMetric{T, AV, AM, TcholM⁻¹} where TcholM⁻¹ <: UpperTriangular{T}) where AM <: Union{AbstractMatrix{T}, AbstractArray{T, 3}}) where AV <: AbstractVecOrMat{T}) where T",(((AbstractMetric where TcholM⁻¹) where AM) where AV) where T,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/adaptation/massmatrix.jl,NaiveVar,tdstrc,"NaiveVar{T <: AbstractFloat, E <: AbstractVector{<:AbstractVecOrMat{T}}}",DiagMatrixEstimator{T},false,false,2,"(NaiveVar{T, E} where E <: (AbstractVector{var""##ANON_TV#465""} where var""##ANON_TV#465"" <: AbstractVecOrMat{T})) where T <: AbstractFloat",(DiagMatrixEstimator{T} where E) where T,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/adaptation/massmatrix.jl,WelfordVar,tdmtbl,"WelfordVar{T <: AbstractFloat, E <: AbstractVecOrMat{T}}",DiagMatrixEstimator{T},false,false,2,"(WelfordVar{T, E} where E <: AbstractVecOrMat{T}) where T <: AbstractFloat",(DiagMatrixEstimator{T} where E) where T,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/adaptation/massmatrix.jl,NaiveCov,tdstrc,"NaiveCov{F <: AbstractFloat, T <: AbstractVector{<:AbstractVector{F}}}",DenseMatrixEstimator{T},false,false,2,"(NaiveCov{F, T} where T <: (AbstractVector{var""##ANON_TV#466""} where var""##ANON_TV#466"" <: AbstractVector{F})) where F <: AbstractFloat",(DenseMatrixEstimator{T} where T) where F,false,true,true,true,true,data/ta-info/all/AdvancedHMC.jl
src/Aerodynamics/DoubletSource/DoubletSource.jl,DoubletSourceSystem,tdstrc,"DoubletSourceSystem{T <: Real, M <: DenseArray{T}, N <: AbstractVector{T}, O <: AbstractVector{<:AbstractPanel2D}, R <: WakePanel2D, P <: Uniform2D}",Any,false,false,6,"(((((DoubletSourceSystem{T, M, N, O, R, P} where P <: Uniform2D) where R <: WakePanel2D) where O <: (AbstractVector{var""##ANON_TV#352""} where var""##ANON_TV#352"" <: AbstractPanel2D)) where N <: AbstractVector{T}) where M <: DenseArray{T}) where T <: Real",(((((Any where P) where R) where O) where N) where M) where T,false,true,true,true,true,data/ta-info/all/AeroFuse.jl
src/Aerodynamics/DoubletSource/DoubletSource.jl,DoubletSourceSystem3D,tdstrc,"DoubletSourceSystem3D{T <: Real, M <: DenseArray{T}, N <: AbstractArray{T}, O <: DenseArray{<:AbstractPanel3D}, R <: AbstractArray{<:WakePanel3D}, P <: Freestream}",Any,false,false,6,"(((((DoubletSourceSystem3D{T, M, N, O, R, P} where P <: Freestream) where R <: (AbstractArray{var""##ANON_TV#353""} where var""##ANON_TV#353"" <: WakePanel3D)) where O <: (DenseArray{var""##ANON_TV#354""} where var""##ANON_TV#354"" <: AbstractPanel3D)) where N <: AbstractArray{T}) where M <: DenseArray{T}) where T <: Real",(((((Any where P) where R) where O) where N) where M) where T,false,true,true,true,true,data/ta-info/all/AeroFuse.jl
